"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","YDS","TDS","REC","YDS","TDS","ATT","YDS","TDS"
"258",12,"Brashard Smith",KC,"0","0","0","0","0","0","0","0","0"
"259",12,"Joshua Karty",LAR,"135","0","0","0","0","0","0","0","0"
"260",12,"Elijah Mitchell",KC,"0","0","0","0","0","0","0","0","0"
"261",12,"Jarquez Hunter",LAR,"0","0","0","0","0","0","0","0","0"
"262",12,"Malik Washington",MIA,"54.8","0","0","26","223","0","5","25","1"
"263",12,"Kayshon Boutte",NE,"121.9","0","0","43","589","3","0","0","0"
"264",12,"Nick Westbrook-Ikhine",MIA,"135.7","0","0","32","497","9","0","0","0"
"265",12,"Daniel Jones",IND,"142.3","2070","8","0","0","0","67","265","2"
"266",12,"Antonio Gibson",NE,"103.4","0","0","23","206","0","120","538","1"
"267",13,"Audric Estime",DEN,"48.7","0","0","5","27","0","76","310","2"
"268",13,"Kenneth Gainwell",PIT,"62.6","0","0","16","116","0","75","290","1"
"269",13,"Trevor Etienne",CAR,"0","0","0","0","0","0","0","0","0"
"270",13,"Ty Johnson",BUF,"91.7","0","0","18","284","3","41","213","1"
"271",13,"Devin Singletary",NYG,"96.6","0","0","21","119","0","113","437","4"
"272",13,"Cleveland Browns",CLE,"81","0","0","0","0","0","0","0","0"
"273",13,"Dont'e Thornton Jr.",LV,"0","0","0","0","0","0","0","0","0"
"274",13,"Sean Tucker",TB,"68.7","0","0","9","109","1","50","308","2"
"275",13,"Theo Johnson",NYG,"68.1","0","0","29","331","1","0","0","0"
"276",13,"Noah Gray",KC,"113.3","0","0","40","437","5","1","-4","0"
"277",13,"Ollie Gordon II",MIA,"0","0","0","0","0","0","0","0","0"
"278",13,"Harold Fannin Jr.",CLE,"0","0","0","0","0","0","0","0","0"
"279",13,"Jacory Croskey-Merritt",WAS,"0","0","0","0","0","0","0","0","0"
"280",13,"Parker Washington",JAC,"97","0","0","32","390","3","0","0","0"
"281",13,"Tre Tucker",LV,"129.3","0","0","47","539","3","9","44","1"
"282",13,"Joe Flacco",CLE,"106","1761","12","0","0","0","9","26","0"
"283",13,"Amari Cooper",FA,"122.7","0","0","44","547","4","0","0","0"
"284",13,"Tory Horton",SEA,"0","0","0","0","0","0","0","0","0"
"285",13,"Tim Patrick",DET,"92.4","0","0","33","394","3","0","0","0"
"286",13,"Tyler Shough",NO,"0","0","0","0","0","0","0","0","0"
"287",13,"Jalen Nailor",MIN,"103","0","0","28","414","6","3","-4","0"
"288",13,"Xavier Restrepo",TEN,"0","0","0","0","0","0","0","0","0"
"289",13,"Jordan James",SF,"0","0","0","0","0","0","0","0","0"
"290",13,"Isaiah Davis",NYJ,"45.9","0","0","9","75","1","30","174","1"
"291",13,"Luke McCaffrey",WAS,"34.8","0","0","18","168","0","0","0","0"
"292",13,"Chicago Bears",CHI,"121","0","0","0","0","0","0","0","0"
"293",13,"Darren Waller",MIA,"0","0","0","0","0","0","0","0","0"
"294",13,"Dameon Pierce",HOU,"43.5","0","0","2","2","0","40","293","2"
"295",13,"Jaxson Dart",NYG,"0","0","0","0","0","0","0","0","0"
"296",13,"Taysom Hill",NO,"103.3","0","0","23","187","0","39","278","6"
"297",13,"Daniel Carlson",LV,"145","0","0","0","0","0","0","0","0"
"298",13,"Khalil Herbert",IND,"31.5","0","0","10","25","0","36","130","1"
"299",13,"Isaac TeSlaa",DET,"0","0","0","0","0","0","0","0","0"
"300",13,"Noah Fant",CIN,"104","0","0","48","500","1","0","0","0"
"301",13,"Christian Watson",GB,"105.3","0","0","29","620","2","4","23","0"
"302",13,"Terrance Ferguson",LAR,"0","0","0","0","0","0","0","0","0"
"303",13,"Sincere McCormick",LV,"27.2","0","0","6","29","0","39","183","0"
"304",13,"Kimani Vidal",LAC,"32.7","0","0","5","62","1","43","155","0"
"305",13,"Jermaine Burton",CIN,"14.7","0","0","4","107","0","0","0","0"
"306",13,"Will Reichard",MIN,"131","0","0","0","0","0","0","0","0"
